OBJECTID,ORIG_FID,fault_name,section_name,fault_id,section_id,Location,linetype,age,dip_direction,slip_rate,slip_sense,mapped_scale,class,mapped_certainty,strike,total_fault_length,cooperators,earthquake,last_review,fault_url,symbology,ref_id,Fault_ID_num,Shape_Length,POINT_X,POINT_Y
52,1418,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.015487184525969,-120.245932901999993,42.493212582000069
53,1418,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.015487184525969,-120.246020700999964,42.486848857000041
54,1419,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.012548585206874,-120.245931687999985,42.445925333000048
55,1420,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.014226841010758,-120.243408552999995,42.470712305000063
56,1420,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.014226841010758,-120.244897477999984,42.464510566000058
57,1423,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.008188581902930,-120.214250649999940,42.531070600000078
58,1425,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.072230589756509,-120.174557847999949,42.619148204000055
59,1425,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.072230589756509,-120.174601575999986,42.612947885000040
60,1425,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.072230589756509,-120.175287066999942,42.607283114000040
61,1425,Abert Rim fault,Lake Abert section,829,a,Oregon,Well Constrained,latest Quaternary,W,Between 0.2 and 1.0 mm/yr,Normal,unspecified,A,Good,N14°E,77,Oregon Department of Geology and Mineral Industries ,,3/28/2016 0:00:00,https://earthquake.usgs.gov/cfusion/qfault/show_report_AB_archive.cfm?fault_id=829&section_id=a,latest Quaternary Well Constrained,829a,829,0.072230589756509,-120.178451117999941,42.601835124000047
