OBJECTID,ORIG_FID,FCLASS,URBAN_CODE,ROUNDED_SPEED,Volume,Capacity,VCR,Artificial,Shape_Length,MODE_TYPE,MILES,POINT_X,POINT_Y
5696,118071,3,64945,55,10119.000000000000000,28883.629120879100810,0.350336862367661,0,897.607481271599795,road,0.557746315304023,-1330958.143600001931190,319915.673799999058247
5697,118072,3,64945,55,10836.000000000000000,28071.723076923099143,0.386011217419993,0,6489.456916448468291,road,4.032353516423240,-1324603.295199997723103,332386.187300000339746
5698,118073,3,64945,55,11478.000000000000000,28468.033898305100593,0.403189066059225,0,3422.105418456447296,road,2.126393471032680,-1327177.299300000071526,327523.490600001066923
5699,118074,3,64945,55,12018.000000000000000,21656.039510294951469,0.554949116817357,0,3267.660995664834445,road,2.030426347842870,-1324984.196900002658367,348643.086300000548363
5700,118075,3,64945,55,15845.000000000000000,25010.168233547748969,0.633542319749217,0,2701.965778800281896,road,1.678920339510210,-1324237.665100000798702,343079.442999999970198
5701,118076,3,64945,55,21615.000000000000000,23166.765772298749653,0.933017591339651,0,1121.190295321416897,road,0.696673957178096,-1322750.333899997174740,351661.901200000196695
5702,118077,3,64945,55,23590.000000000000000,23887.813953488348488,0.987532808398953,0,898.974047275907196,road,0.558595458353101,-1323064.275200001895428,352694.857299998402596
5703,118078,3,64945,60,15416.000000000000000,20490.043365134450141,0.752365415986947,0,479.156925422048744,road,0.297733714549654,-1324864.531599998474121,336484.359499998390675
5704,118079,3,64945,60,15625.000000000000000,20493.007060333751724,0.762455209916152,0,880.061058741134730,road,0.546843495622451,-1324970.243299998342991,338853.725400000810623
5705,118251,3,65242,35,7407.000000000000000,22500.000000000000000,0.329200000000000,0,47.775526533692123,road,0.029686276509335,-2028882.975900001823902,1195202.667300000786781
5706,118252,3,65242,25,2259.000000000000000,13547.739754098349295,0.166743681307920,0,303.293207347544126,road,0.188457284931705,-2026185.527199998497963,1189009.455800000578165
5707,118253,3,65242,30,8695.000000000000000,23759.108341323099012,0.365964912280702,0,1194.881728745946930,road,0.742463599443307,-2026113.225699998438358,1194383.143199998885393
5708,118254,3,65242,40,6103.000000000000000,14224.258474576250592,0.429055757873648,0,292.222999809352530,road,0.181578590632800,-2026127.837099999189377,1187163.337400000542402
5709,118255,3,65242,40,3796.000000000000000,13831.339772727249510,0.274449190199564,0,0.453519847105417,road,0.000281803604491,-2026074.129900000989437,1187027.250100001692772
5710,118256,3,65242,35,5045.000000000000000,14827.771853146850844,0.340239926130864,0,61.148802961815555,road,0.037996028608060,-2030487.251599997282028,1195854.877000000327826
5711,118257,3,65242,35,6297.000000000000000,14914.667366946800030,0.422201839643781,0,230.111598721556675,road,0.142984432475816,-2030358.608999997377396,1195795.501800000667572
5712,118258,3,65242,35,6297.000000000000000,14685.346638655450079,0.428794781283863,0,1162.457499890900635,road,0.722316157997234,-2029740.578400000929832,1195480.070999998599291
5713,118259,3,65242,30,8545.000000000000000,24022.573158425850124,0.355707106963387,0,154.959339495127324,road,0.096287076955858,-2020184.824500001966953,1192025.814500000327826
5714,118260,3,65242,35,10007.000000000000000,15000.000000000000000,0.667133333333333,0,1881.035421492422756,road,1.168818884850960,-2021195.291500002145767,1187285.291600000113249
5715,118261,3,65242,40,9009.000000000000000,15000.000000000000000,0.600600000000000,0,1211.739723930542823,road,0.752938651059745,-2019086.017599999904633,1186415.457199998199940
5716,118262,3,65242,35,4266.000000000000000,13704.740890688250147,0.311279143037176,0,453.952324489763896,road,0.282072332941320,-2019009.446999996900558,1188741.982900001108646
5717,118263,3,65242,35,10100.000000000000000,30000.000000000000000,0.336666666666667,0,824.682318056559552,road,0.512432810320182,-2019156.487899996340275,1192433.683299999684095
5718,118264,3,65242,25,2614.000000000000000,21893.457446808501118,0.119396399876578,0,453.757358851043762,road,0.281951187152235,-2018974.662500001490116,1191639.974899999797344
5719,118265,3,65242,30,12948.000000000000000,24032.730179880101787,0.538765254845656,0,398.194538660317050,road,0.247426120376526,-2018874.910700000822544,1191316.265200000256300
5720,118266,3,65242,25,8300.000000000000000,18523.933054393299244,0.448068991376078,0,253.425416518821208,road,0.157470938263036,-2018869.218099996447563,1191977.473099999129772
5721,118267,3,65242,25,4969.000000000000000,11341.829370629349796,0.438112745098042,0,23.454996768208435,road,0.014574230157266,-2018827.535899996757507,1192109.486999999731779
5722,118268,3,65242,25,4969.000000000000000,11341.829370629349796,0.438112745098042,0,39.090341971213419,road,0.024289563816393,-2018818.497599996626377,1192139.422899998724461
5723,118269,3,65242,35,4734.000000000000000,12656.126829268299844,0.374048084683558,0,122.979531449355875,road,0.076415785245599,-2018795.656800001859665,1192217.172100000083447
5724,118270,3,65242,35,2749.000000000000000,12204.943977591050498,0.225236593059936,0,80.303365126785536,road,0.049898097933105,-2018764.370399996638298,1192313.876800000667572
5725,118271,3,65242,35,9696.000000000000000,25405.865213523149578,0.381644156517015,0,1011.030025274477111,road,0.628223675742679,-2018803.565200001001358,1189444.941199999302626
5726,118272,3,65242,35,13250.000000000000000,25388.889069616150664,0.521881834359454,0,757.730077025584478,road,0.470830699692192,-2018547.150700002908707,1190291.320000000298023
5727,118273,3,65242,30,5930.000000000000000,24048.005822416300362,0.246590093323762,0,438.002919544004158,road,0.272161851995698,-2018527.663599997758865,1191092.576799999922514
5728,118274,3,65242,35,13250.000000000000000,30000.000000000000000,0.441666666666667,0,654.449355541390219,road,0.406655162999756,-2018236.192699998617172,1191307.480900000780821
5729,118275,3,65242,35,15801.000000000000000,30000.000000000000000,0.526700000000000,0,251.843211221346053,road,0.156487803437254,-2018101.840099997818470,1191740.252099998295307
5730,118276,3,65242,35,2784.000000000000000,27876.286516853950161,0.099869830162522,0,115.035829934268776,road,0.071479807836366,-2018048.232400000095367,1191915.680599998682737
5731,118277,3,65242,35,10469.000000000000000,30000.000000000000000,0.348966666666667,0,807.427834374964164,road,0.501711392666388,-2018356.589400000870228,1192272.102699998766184
5732,118278,3,65242,35,2784.000000000000000,15000.000000000000000,0.185600000000000,0,21.111776953242273,road,0.013118223779185,-2018027.867700003087521,1191980.636799998581409
5733,118279,3,65242,35,2784.000000000000000,15000.000000000000000,0.185600000000000,0,211.275982511212362,road,0.131280546582488,-2017993.609700001776218,1192091.594599999487400
5734,118280,3,65242,40,4979.000000000000000,15000.000000000000000,0.331933333333333,0,1962.930485073420641,road,1.219706016372170,-2016883.372900001704693,1184659.386900000274181
5735,118281,3,65242,50,4359.000000000000000,15000.000000000000000,0.290600000000000,0,2183.091913909817322,road,1.356507712288980,-2015013.307999998331070,1184014.248100001364946
5736,118282,3,65242,40,8583.000000000000000,30000.000000000000000,0.286100000000000,0,847.215844438334216,road,0.526434466469969,-2018274.406999997794628,1185654.923999998718500
5737,118283,3,65242,40,7218.000000000000000,22500.000000000000000,0.320800000000000,0,305.513766185637905,road,0.189837073464782,-2017806.043300002813339,1185319.037599999457598
5738,118284,3,65242,40,13330.000000000000000,30000.000000000000000,0.444333333333333,0,26.683928677704714,road,0.016580591414792,-2015976.889300003647804,1191791.691899999976158
5739,118285,3,65242,35,2930.000000000000000,13284.254742547449496,0.220561864913330,0,416.146776265151402,road,0.258581101350363,-2015903.354800000786781,1191989.595400001853704
5740,118286,3,65242,40,13330.000000000000000,30000.000000000000000,0.444333333333333,0,423.569517866360400,road,0.263193369924220,-2015752.048500001430511,1191782.765299998223782
5741,118287,3,65242,40,8761.000000000000000,15000.000000000000000,0.584066666666667,0,85.453033690737357,road,0.053097947228604,-2015152.823299996554852,1190607.565499998629093
